nested,independent,process_number,dimensions,mode,max_pareto,max_theoretical_pareto,max_time,pareto_time
7,4,8,6,bagging_remove_reverse,15,200,0.00012826919555664062,0.005117177963256836
7,4,8,6,bagging_remove_reverse_divide,52,200,0.0001285076141357422,0.020227670669555664
7,4,8,7,random,9,200,0.00012755393981933594,0.0032482147216796875
7,4,8,7,bagging_divide,36,200,0.00012540817260742188,0.017310380935668945
7,4,8,7,bagging_remove,25,200,0.00012636184692382812,0.009744882583618164
7,4,8,7,bagging_remove_divide,31,200,0.0001308917999267578,0.013256072998046875
7,4,8,7,bagging_remove_reverse,29,200,0.00014209747314453125,0.011812686920166016
7,4,8,7,bagging_remove_reverse_divide,60,200,0.0001342296600341797,0.028252124786376953
7,4,8,8,random,8,200,0.00013327598571777344,0.003120899200439453
7,4,8,8,bagging_divide,27,200,0.00012993812561035156,0.012280702590942383
7,4,8,8,bagging_remove,28,200,0.00013017654418945312,0.012048006057739258
7,4,8,8,bagging_remove_divide,32,200,0.0001304149627685547,0.012240886688232422
7,4,8,8,bagging_remove_reverse,27,200,0.0001308917999267578,0.009115219116210938
7,4,8,8,bagging_remove_reverse_divide,38,200,0.00012874603271484375,0.015194416046142578
7,4,8,9,random,9,200,0.0001323223114013672,0.0025823116302490234
7,4,8,9,bagging_divide,48,200,0.00013136863708496094,0.029565811157226562
7,4,8,9,bagging_remove,28,200,0.00013184547424316406,0.011314630508422852
7,4,8,9,bagging_remove_divide,22,200,0.0001316070556640625,0.007320880889892578
7,4,8,9,bagging_remove_reverse,61,200,0.00012922286987304688,0.042543888092041016
7,4,8,9,bagging_remove_reverse_divide,46,200,0.00012946128845214844,0.01962757110595703
7,4,8,10,random,12,200,0.0001380443572998047,0.0037927627563476562
7,4,8,10,bagging_divide,70,200,0.00012969970703125,0.04661369323730469
7,4,8,10,bagging_remove,23,200,0.00012922286987304688,0.007169246673583984
7,4,8,10,bagging_remove_divide,27,200,0.00013065338134765625,0.016588687896728516
7,4,8,10,bagging_remove_reverse,74,200,0.00013017654418945312,0.04309725761413574
7,4,8,10,bagging_remove_reverse_divide,75,200,0.00012993812561035156,0.046338796615600586
7,4,9,1,random,1,128,9.751319885253906e-05,0.0006196498870849609
7,4,9,1,bagging_divide,1,128,9.584426879882812e-05,0.0006055831909179688
7,4,9,1,bagging_remove,1,128,9.584426879882812e-05,0.0006463527679443359
7,4,9,1,bagging_remove_divide,1,128,9.655952453613281e-05,0.0006072521209716797
7,4,9,1,bagging_remove_reverse,1,128,9.584426879882812e-05,0.0004665851593017578
7,4,9,1,bagging_remove_reverse_divide,1,128,9.489059448242188e-05,0.0004563331604003906
7,4,9,2,random,2,128,9.393692016601562e-05,0.0007376670837402344
7,4,9,2,bagging_divide,4,128,0.00010037422180175781,0.001233816146850586
7,4,9,2,bagging_remove,3,128,9.5367431640625e-05,0.001050710678100586
7,4,9,2,bagging_remove_divide,2,128,9.560585021972656e-05,0.0008220672607421875
7,4,9,2,bagging_remove_reverse,2,128,0.00010728836059570312,0.0006630420684814453
7,4,9,2,bagging_remove_reverse_divide,4,128,0.00011038780212402344,0.0008587837219238281
7,4,9,3,random,11,128,9.870529174804688e-05,0.003907918930053711
7,4,9,3,bagging_divide,22,128,9.703636169433594e-05,0.008599519729614258
7,4,9,3,bagging_remove,5,128,9.655952453613281e-05,0.0015556812286376953
7,4,9,3,bagging_remove_divide,7,128,9.775161743164062e-05,0.0022673606872558594
7,4,9,3,bagging_remove_reverse,14,128,9.679794311523438e-05,0.0061795711517333984
7,4,9,3,bagging_remove_reverse_divide,15,128,9.441375732421875e-05,0.005013942718505859
7,4,9,4,random,9,128,0.00010156631469726562,0.00241851806640625
7,4,9,4,bagging_divide,17,128,9.655952453613281e-05,0.00550079345703125
7,4,9,4,bagging_remove,11,128,9.655952453613281e-05,0.0036323070526123047
7,4,9,4,bagging_remove_divide,13,128,9.679794311523438e-05,0.003985881805419922
7,4,9,4,bagging_remove_reverse,33,128,9.560585021972656e-05,0.020072460174560547
7,4,9,4,bagging_remove_reverse_divide,30,128,9.560585021972656e-05,0.011355876922607422
7,4,9,5,random,11,128,9.584426879882812e-05,0.0029342174530029297
7,4,9,5,bagging_divide,18,128,9.679794311523438e-05,0.006102085113525391
7,4,9,5,bagging_remove,28,128,9.703636169433594e-05,0.010792970657348633
7,4,9,5,bagging_remove_divide,12,128,9.679794311523438e-05,0.003844738006591797
7,4,9,5,bagging_remove_reverse,17,128,9.655952453613281e-05,0.006945133209228516
7,4,9,5,bagging_remove_reverse_divide,60,128,9.72747802734375e-05,0.04189658164978027
7,4,9,6,random,18,128,0.00011324882507324219,0.0066699981689453125
7,4,9,6,bagging_divide,42,128,9.679794311523438e-05,0.025816917419433594
7,4,9,6,bagging_remove,24,128,9.489059448242188e-05,0.008649349212646484
7,4,9,6,bagging_remove_divide,27,128,9.608268737792969e-05,0.014433145523071289
7,4,9,6,bagging_remove_reverse,66,128,9.679794311523438e-05,0.05564379692077637
7,4,9,6,bagging_remove_reverse_divide,37,128,9.846687316894531e-05,0.01794576644897461
7,4,9,7,random,17,128,9.775161743164062e-05,0.006472110748291016
7,4,9,7,bagging_divide,74,128,9.679794311523438e-05,0.0709831714630127
7,4,9,7,bagging_remove,33,128,9.5367431640625e-05,0.01863384246826172
7,4,9,7,bagging_remove_divide,34,128,9.775161743164062e-05,0.018376588821411133
7,4,9,7,bagging_remove_reverse,73,128,9.5367431640625e-05,0.07059907913208008
7,4,9,7,bagging_remove_reverse_divide,36,128,9.799003601074219e-05,0.016612768173217773
